,NSC,SMILES
233391,670354,CC(C)CC(C(=O)NC(CCOC)C(=O)OC)NC(=O)OC(C)(C)C
233392,670355,CC(C)CC(C(=O)NC(CCOCC1=CC=CC=C1)C(=O)N)NC(=O)OC(C)(C)C
233393,670356,CC(C(=O)OC)NC(=O)C(CCSC)NC(=O)C(CC1=CC=CC=C1)NC(=O)OC(C)(C)C
233396,670359,CC(C)(C)OC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CC=CC=C2)C(=O)NCC(=O)OC
233399,670362,C1CCC(CC1)SC2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CO)O)O)N
233400,670363,CC(C)C1C2C(CN1CC=C)CON2C(=O)C(C3=CC=CC=C3)(C(F)(F)F)OC
233404,670389,CC(C(=O)NCP(=O)(O)O)NC(=O)C(CCC(=O)O)N
233405,670390,CCCCCC[N+]1=NOC(=C1C2=CC=C(C=C2)C3=C(ON=[N+]3CCCCCC)N)N.[Cl-]
233406,670391,C1CC([C@H]2[C@@H](C1O)[C@H]3C4=CC=CC=C4[C@@H]2S3)O
233407,670392,CC(=O)OC1C=CC(C2C1[C@H]3C4C=CC=CC4[C@@H]2S3=O)OC(=O)C
233408,670393,CC(=O)OC1CCC([C@H]2[C@@H]1[C@H]3C4=CC=CC=C4[C@@H]2S3)OC(=O)C
233409,670395,C1CCN(C1)C2=NC3=NC=NC(=C3C=C2C#N)N
234749,673171,C(CO)N(CN(CN(CCO)CO)C1=NC(=NC(=N1)N(CN(CCO)CO)CN(CCO)CO)N(CN(CCO)CO)CN(CCO)CO)CO
234750,673172,C1N(CN(CN1CCO)C2=NC(=NC(=N2)N3CN(CN(C3)CCO)CCO)N4CN(CN(C4)CCO)CCO)CCO
235140,674127,CC1=C(C(=C2C(=N1)N=C(N(C2=O)CCN3CCOCC3)C)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)CCCCCCCCCCN5CCC(CC5)(C6=CC=CC=C6)C7=CC=CC=C7.Cl
237098,678038,C(=C(Cl)Cl)(/C(=C(\Cl)/Br)/Cl)[N+](=O)[O-]
237279,678407,C1CC(N(C1)C(=O)C2=CC=CC=N2)C(=O)O
237280,678408,CN(C)C1=CC(=NC=C1)C(=O)N2CCCC2C(=O)O
237281,678409,COC1=CC(=NC=C1)C(=O)N2CCCC2C(=O)O
237282,678410,C1=CC2=C(C=CN=C2N)C(=C1)[N+](=O)[O-]
237283,678411,CS(=O)(=O)CC(CC1=CC=CC=C1)C(=O)O
237284,678412,CC1=CC(=C(C(=C1)C)C2CNCC3=CC4=C(CNCC4C5=C(C=C(C=C5C)C)C)C=C23)C.C1=CC=C(C=C1)C(C(=O)O)O
239182,683132,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4O)O)C5=CC(=O)C6=C(O5)C(=C(C=C6O)O)C7=C(C=CC(=C7O)O)C8=CC(=O)C9=C(C=C(C=C9O8)O)O)O)O
239183,683133,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4=C(C=CC(=C4O)O)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O)O
239184,683134,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4O)O)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O
239185,683135,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C(=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O)O)O
240201,685354,COC1=C(C=C(C=C1)C=C2C(=O)NC(=O)NC2=O)OCC3=CC=CC=C3
240202,685355,COC1=C(C=CC(=C1)C=C2C(=O)NC(=O)NC2=O)OCC3=CC=CC=C3
240203,685356,COC1=CC=CC(=C1)CC2C(=O)NC(=O)NC2=O
240204,685357,C1=CC=C(C=C1)COC2=CC=CC(=C2)CC3C(=O)NC(=O)NC3=O
240205,685358,C1=CC(=CC(=C1)Cl)CC2C(=O)NC(=O)NC2=O
240206,685359,COC1=C(C=C(C=C1)CC2C(=O)NC(=O)NC2=O)OCC3=CC=CC=C3
240207,685360,COC1=C(C=CC(=C1)CC2C(=O)NC(=O)NC2=O)OCC3=CC=CC=C3
240208,685361,COC1=C(C=C(C=C1)CC2C(=O)NC(=O)NC2=O)OC
240209,685362,CC(=O)OCCOCN1C(=O)CC(=O)NC1=O
240210,685363,CC(=O)OCCOCN1C(=O)/C(=C\C2=CC(=CC=C2)OCC3=CC=CC=C3)/C(=O)NC1=O
240477,685920,COC1=C(C=CC(=C1)N(CCC#N)CCC#N)/C(=N/NC(=O)C2=C(C=CC(=C2)Br)O)/N=NC3=CC=C(C=C3)Cl
240478,685921,COC1=CC=CC(=C1)N=N/C(=N\NC(=O)C2=C(C=CC(=C2)Br)O)/C3=C(C=C(C=C3)N(CCC#N)CCC#N)OC
240479,685922,COC1=CC=C(C=C1)N=N/C(=N\NC(=O)C2=C(C=CC(=C2)Br)O)/C3=C(C=C(C=C3)N(CCC#N)CCC#N)OC
240480,685923,COC1=C(C=CC(=C1)N(CCC#N)CCC#N)/C(=N/NC(=O)C2=C(C=CC(=C2)Br)O)/N=NC3=CC=C(C=C3)[N+](=O)[O-]
240481,685924,COC1=C(C=CC(=C1)N(CCC#N)CCC#N)/C(=N/NC(=O)C2=C(C=CC(=C2)Br)O)/N=NC3=CC=C(C=C3)C(=O)O
240934,687011,C/C/1=C/CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1=O)C(=C)C(=O)O3)C
241936,689577,CCC(C)(CC(C)(C)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CC=CC=C2)C(=O)NCC(=O)NC3CC(OC(C3O)C)OC4CC(CC5=C4C(=C6C(=C5O)C(=O)C7=C(C6=O)C(=CC=C7)OC)O)(C(=O)CO)O)C(=O)NCC(C)O
244560,695797,CC(=O)N[C@]12CC[C@H](C1)C(C2=O)(C)C
244561,695798,COC1=C(C(=C2C(=C1)CCC(C3=C2C=CC(=C3)SC)O)OC)OC
244701,696252,COC1=CC=C(C=C1)C(=O)C#CC2=CN=C(N=C2OC)OC
244707,696259,CC1=CC2=C(C=C1CN(CC#C)C3=CC(=C(C=C3)C(=O)N[C@@H](CCC4=NNN=N4)C(=O)O)F)C(=O)NC(=N2)C
244863,696860,C1CN(CCN(CCN1CC(=O)O)CC(=O)O)CC(=O)O
244864,696861,C1CN(CCNCCN(CCN(CCN1)CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O
244963,697123,CC1=C2C(=C(C(=C1O)OC3=C(C(=C(C(=C3C)O)O)[C@H](C)CCC=C(C)C)O)[C@H](C)CCC=C(C)C)OC(=N2)C(=O)OC
249271,707961,C1CN(C(=N1)N)CC(=O)O
251571,712807,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
254710,719344,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
265083,744479,C(C(=O)O)(Cl)Cl.[Na+]
266264,747803,C1=CC=C2C(=C1)C(=O)/C(=C\NC3=CC(=C(C=C3)C(=O)O)O)/C(O2)O
266265,747804,C1=CC=C2C(=C1)C(=O)/C(=C\NC3=CC(=C(C=C3)O)C(=O)O)/C(O2)O
280545,783840,COC(=O)CCC(=O)C(=O)OC
52722,61586,[R]C(=O)c1csc(n1)C2CSC(=N2)CCNC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c3nc(nc(N)c3C)C(CC(=O)N)NCC(N)C(=O)N)C(OC4OC(CO)C(O)C(O)C4OCCC5OC(CO)C(O)C(OC(=O)N)C5O)c6c[nH]cn6)C(=O)C
59922,71935,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C3NC(=O)C(Cc4ccccc4)NC(=O)C5CCCN5C(=O)CNC(=O)C(Cc6ccccc6)NC(=O)C7CNCCCCC(NC(=O)C8NC(=O)C(CC(=O)N)NC(=O)CNC(=O)C(NC(=O)C(CSCC(NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(N)CSC8C)C(=O)NC(CSC3C)C(=O)N7)NC1=O)C(O)C(=O)O)C(=O)O
59923,71936,CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]3NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H]5CCCN5C(=O)CNC(=O)[C@H](Cc6ccccc6)NC(=O)[C@@H]7CNCCCC[C@H](NC(=O)[C@H]8NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CSC[C@H](NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CS[C@@H]8C)C(=O)N[C@@H](CS[C@H]3C)C(=O)N7)NC1=O)[C@@H](O)C(=O)O)C(=O)O
63754,76779,CCCCC1CCCCCCc2cc1c(\C=C\3/N=C(C=C3OC)c4ccc[nH]4)[nH]2
68279,83340,Cn1cnc2nc(Cl)nc(N)c12
80443,99282,COC1C(C)OC(CC1(C)[N+](=O)[O-])Oc2cc(nc(C(=O)OC3C(C)\C=C(/C)\C(=O)c4c(O)c(C)cc5C(=O)C6=C(OC(C)(CN6)C(=O)C3O)C(=O)c45)c2O)C(=O)NC7=C(O)c8ccc(OC)cc8OC7=O
81114,100045,[R]OC1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C4[C@@H]5CC(C)(C)[C@@H](OC(=O)\C=C/C=C\C(C)CC)[C@H](OC(=O)C)[C@@]5(CC[C@@]34C)C(=O)O)C1(C)C
175901,308312,COc1ccc2nc(C(=O)N[C@H]3COC(=O)[C@H](N(C)C(=O)CN(C)C(=O)CNC(=O)[C@@H]4[C@H](CC=NN4C(=O)[C@@H](COC(=O)[C@@H](N(C)C(=O)CN(C)C(=O)CNC(=O)[C@@H]5[C@H](CC=NN5C3=O)OC(=O)C)C(C)(C)C)NC(=O)c6nc7ccc(OC)cc7cc6O)OC(=O)C)C(C)(C)C)c(O)cc2c1
189037,356232,[R]CC(=O)O[Sn](CC)(CC)n1cc([R])c2ccccc12
195732,378842,[R]CC(CC([R])C(=O)OCC(O)C1OC2OC(C)(C)OC2C1OC(=O)CCN3C=C(F)C(=O)NC3=O)C(=O)N
195733,378843,[R]CC(CC([R])C(=O)OCC(OC(=O)CCN1C=C(F)C(=O)NC1=O)C2OC3OC(C)(C)OC3C2OC(=O)CCN4C=C(F)C(=O)NC4=O)C(=O)N
195779,378895,[R]CC(CC([R])C(=O)OCC(O)C1OC2OC(C)(C)OC2C1OC(=O)CCN3C=C(F)C(=O)NC3=O)C(=O)N
195780,378896,[R]CC(CC([R])C(=O)OCC(O)C1OC2OC(C)(C)OC2C1OC(=O)CCN3C=C(F)C(=O)NC3=O)C(=O)N
221616,625662,[R]OC1OC(CO)C(O)C([R])C1O
221908,626201,[Na+].[R]OC1COC([R])C(OS(=O)(=O)O)C1OS(=O)(=O)O
225661,633243,[R]Oc1ccc(cc1)S(=O)(=O)c2ccc(Oc3ccc(Cc4cccc(n4)C(=O)c5ccc([R])cc5)cc3)cc2
226296,634169,[R]Oc1ccc(cc1)C(=O)c2cccc(n2)C(=O)c3ccc(OC4CCC(CC4)C(C)(C)c5ccc([R])cc5)cc3
226297,634170,[R]Oc1ccc(cc1)S(=O)(=O)c2ccc(Oc3ccc(cc3)C(C)(C)c4ccc([R])cc4)cc2
239813,661964,CCC(C)(C)c1ccc(O)c([R]SSc2cc(cc(c2O)[RH])C(C)(C)CC)c1
244184,671017,[R]\N=C/1\N=C([R])C2=C1SC(Cc3ccccc3)(OCCCC)S2
118399,64948,CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O
130729,77471,CC(C)CCCCCCCCCCCCC(=O)NCC(=O)NC1C(C(C(OC1C(CO)O)NC2=NC=NC3=C2NC=N3)O)O
148846,105023,CC=CC1C(O1)(C)C2=CC(=O)C3=C(O2)C4=C(C=C3C)C(=O)C5=C(C4=O)C(=C(C=C5C6CC(C(C(O6)C)O)N(C)C)C7CC(C(C(O7)C)O)(C)N(C)C)O
151347,109229,C(C(C(=O)O)N)C(=O)O
151356,109229,CCOC(=O)C(C1NC(CS1)C(=O)O)C2=CC=CC=C2
171039,157365,CC1C(C(C(C(O1)OC2C3CC#CC4C(O4)(C#CC3=CC2OC(=O)C5=C(C=CC6=C5C=C(C=C6C)OC)O)C7COC(=O)O7)NC)O)O
225257,627997,C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)[O-].C1=CC=C(C=C1)CC(=O)[O-].[Na+].[Na+]
225890,632307,CC1(C(=C)N(C2=CC=CC=C21)CCCCCC(=O)O)C
225891,632307,CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OC
226967,638719,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O
248935,767593,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
0,15384,CC(C)CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CCSC)NC(=O)C1CCCN1C(=O)C(C(C)C)N
1,36390,COC1=CC(=CC(OC)=C1OC)C1C2C(COC2=O)C(O)C2=CC3=C(OCO3)C=C12.COC1=CC(=CC(OC)=C1OC)C1C2C(COC2=O)C(O)C2=CC3=C(OCO3)C=C12.COC1=CC(=CC(OC)=C1OC)C1C(C(CO)C(O)C2=CC3=C(OCO3)C=C12)C(O)=O.COC1=CC(=CC(OC)=C1OC)C1C(C(CO)C(O)C2=CC3=C(OCO3)C=C12)C(O)=O
6,69856,CC1C(C(C(C(O1)OC2C(C=C3C2=CC#CC4C(O4)(C#C3)C5COC(=O)O5)OC(=O)C6=C(C=CC7=C6C=C(C=C7C)OC)O)NC)O)O
12,91768,CC1CCC(C(C(CC(C(C=CC=C(C(=O)OC(C(C=CC=C(C(CC(CC(CC(CC2CC(C(C(O2)(CC1O)O)O)O)OC(=O)CC(=O)O)O)O)O)C)C)C(C)CCCC=CCCCN=C(N)N)C)C)O)O)C)O
14,94219,CC(CC(C)C1OC(=O)CC(=O)CCCC(=O)CC(O)CC(O)CC(O)CC(=O)CC(O)C(C(O)CC(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C1C)C(O)=O)C(O)CC(=O)C1=CC=C(N)C=C1
16,105024,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
17,109229,CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C
22,126730,C(CNCCNCCN)N.Cl.Cl
24,157365,CC1C(C(C(C(O1)OC2C3CC#CC4C(O4)(C#CC3=CC2OC(=O)C5=C(C=CC6=C5C=C(C=C6C)OC)O)C7COC(=O)O7)NC)O)O
26,170105,COC1=CC(=C2C(=C1)OC(=C)C(=O)N2)C(=O)OC
32,305264,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)O)O)(C(=O)C)O)N)O.Cl
45,608604,CCC(C(C)C(C(C)C(C(C)C1C(C2C(O2)C(CCCC(CC(CC3CC(C(C(O3)(C(C(C(CCCCC(CC(CC=CC(=O)O1)O)O)C)O)O)O)O)OS(=O)(=O)O)OC(=O)CC(=O)O)O)O)C)O)O)OC4CC(C(C(O4)C)OC)OC(=O)C5=CC(=C(C=C5)NC)OC6CCC(C(O6)C)O
48,619030,CC1=CNC2=C(C=C3C(=C12)C(CN3C(=O)C4=CC5=C(N4)C=CC(=C5)NC(=O)NC6=CC7=C(C=C6)NC(=C7)C(=O)N8CC(C9=C1C(=CNC1=C(C=C98)O)C)CCl)CCl)O
49,619031,CC1=CNC2=C(C=C3C(=C12)C(CN3C(=O)C4=CC5=C(N4)C=CC(=C5)NC(=O)NC6=CC7=C(C=C6)NC(=C7)C(=O)N8CC(C9=C1C(=CNC1=C(C=C98)O)C)CCl)CCl)O
50,622493,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O
51,622494,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O
56,624239,CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C
58,625770,C1=CC(=C(C=C1C(=C2C=CC(=O)C(=C2)C(=O)O)C3=CC(=C(C=C3)O)C(=O)O)C(=O)O)O.N.N.N
62,632307,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7.C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O.C1=C(C(=O)NC(=O)N1)F
159,694246,CCCCCC1C2CC(=CC=CC(C(OC(=O)C=CC(=CC(C2O)(OCO1)C)C)C(C)C(C(C)C3(CC(C(C(O3)C)C)OC4CC(C(C(O4)C)O)O)O)O)OC)C
